timescrape,longitude,latitude,timescrape,longitude,latitude
1507230394,113.599534,23.020008,119.0,0.0,0.0
1507230514,113.599534,23.020008,120.0,0.0,0.0
1507230633,113.599534,23.020008,119.0,0.0,0.0
1507230753,113.599534,23.020008,120.0,0.0,0.0
1507230760,113.599534,23.020008,7.0,0.0,0.0
1507230880,113.600086,23.020292,120.0,0.0005519999999989977,0.0002840000000006171
1507231000,113.600102,23.020142,120.0,1.6000000002236447e-05,-0.00015000000000142677
1507231002,113.600102,23.020142,2.0,0.0,0.0
1507231002,113.600102,23.020142,0.0,0.0,0.0
1507231120,113.600102,23.020142,118.0,0.0,0.0
1507231239,113.600142,23.019558,119.0,3.999999999848569e-05,-0.0005839999999999179
1507231336,113.60055,23.018976,97.0,0.00040799999999308056,-0.0005820000000014147
1507231336,113.60055,23.018976,0.0,0.0,0.0
1507231337,113.60059,23.018976,1.0,3.999999999848569e-05,0.0
1507231337,113.60059,23.018976,0.0,0.0,0.0
1507231360,113.601917,23.019126,23.0,0.0013270000000034088,0.00015000000000142677
1507231382,113.604052,23.019392,22.0,0.002134999999995557,0.00026599999999987745
1507231402,113.606148,23.019658,20.0,0.0020960000000087575,0.00026599999999987745
1507231421,113.608019,23.020527,19.0,0.0018709999999941829,0.000869000000001563
1507231438,113.609435,23.022012,17.0,0.001416000000006079,0.0014849999999988484
1507231453,113.610763,23.023463,15.0,0.001328000000000884,0.001450999999999425
1507231472,113.612339,23.024762,19.0,0.0015760000000000218,0.001298999999999495
1507231490,113.614339,23.024281,18.0,0.001999999999995339,-0.0004810000000006198
1507231506,113.61618,23.023397,16.0,0.0018409999999988713,-0.0008839999999992187
1507231521,113.618068,23.02248,15.0,0.0018879999999938946,-0.0009169999999976142
1507231545,113.61862,23.021098,24.0,0.0005520000000132086,-0.001382000000003103
1507231565,113.61742,23.019446,20.0,-0.0012000000000114142,-0.0016519999999999868
1507231582,113.616307,23.017827,17.0,-0.0011129999999894835,-0.0016189999999980387
1507231601,113.615195,23.016226,19.0,-0.0011120000000062191,-0.0016010000000008517
1507231710,113.615819,23.014811,109.0,0.0006240000000019563,-0.0014149999999979457
